Filename,firm_name,trade,situation,reply
PART II 48.jpeg,Benjamin Ingham,Dyer and Bleacher,"Eastbrook, Bradford","My works are situated on the East Brook, an affluent of Bradford Beck, a tributary of the Aire. Employ 134 hands. Rateable value of works, 240l. The bed of the stream has not silted up within my knowledge. My works are not affected by floods. The condition of the stream is more foul than it was in 1865, when I first occupied these works. The stream is polluted by liquid refuse from manufactories; not to my knowledge by lead in mines. Obtain supply of water jointly from bore-holes, and from waterworks of the Bradford Corporation, and consume yearly 22,030,000 gallons. If the stream, from which I might derive my supply of water, were rendered clear and colourless, I should not be able to use it profitably, as the supply is so uncertain. I bleach and dye yearly 2,500,000 lbs. of goods, of the value of from 190,000l, to 200,000l. About one-third of the water used is foulled; but the remainder is only slightly polluted. I have no depositing tanks; the whole of the waste liquid flows direct into the stream. Use yearly 900,000 lbs. of dye woods, drugs, and amiline colours. All the spent dye stuffs are mixed with the coal and burned. Use yearly as bleaching materials, sulphur 11,200 lbs., chloride of lime 9,000 lbs.; do not use any oil. Use, yearly, soap 500 packs. The soapsuds are treated for the recovery of grease by a neigh-bour, and I receive an equivalent in water. Use steam, 30 nominal horse-power. Consume yearly 3,880 tons of coal, the ashes from which are taken away every day by farmers. The excrements of our workpeople flow by waterclosets into the stream. Have no suggestions to offer as to the best means of avoiding pollution in future, or as to the conservancy of rivers and streams."
PART II 48.jpeg,S. H. Kershaw,Worsted Spinner,"Laister Dyke, Bradford","My works are situated on the East Brook, an affluent of the Brad-ford Beck, a tributary of the Aire. Employ 350 hands. Rateable value of works, 440l. Obtain supply of water jointly from wells and from waterworks company, but do not know the annual consumption at my works. Manufacture yearly 800,000 lbs. of yarn, of the value of 120,000l. The whole of the waste liquid produced except soapsuds flows direct into sewers, and then into the river. Do not use either dye wares or bleaching materials, but use yearly 2,400 gallons of Gallipoli oil, of the value of 600l, and soap 75,000 lbs.; the sands are treated for the recovery of grease, by which I gain 80l, a year. Use steam, 62 nominal horse-power. Consume yearly 2,500 tons of coal; the ashes from which are used to repair roads. The excrement of my workpeople are used for manure. Have no suggestions to offer."
PART II 49.jpeg,Joseph Jowett,Worsted Stuff Weaver,"Laister Dyke Mills, Bradford.","My works are situated on the East Brook, an affluent of Bradford Beck, tributary of the Aire. Employ 70 hands. I hire power from S. H. Kershaw. Manufacture yearly 156,000 lbs. of goods, of the value of 27,000l. The whole of the waste liquid produced by us flows direct into the sewers, and thence into the Beck. As I hire power from S. H. Kershaw, we refer to answers to queries furnished by him as to the horse-power, the weight of coal used, and what is done with the ashes. The excerements of my workpeople are carried away in carts to be used as manure. Have no suggestions to offer."
PART II 49.jpeg,G. H. Leather,Manufacturing Chemist,"Wharf Street, Bolton Road, Bradford.","My works are situated on Bradford Beck, a tributary of the Aire. Employ 16 hands. Rateable value of work, 255l. The bed of the stream has stilted up, caused by solid refuse thrown into it from works and manufactories. My works are not affected by floods. The Beck is very seriously polluted by every kind of manufacturing refuse, by town sewage, and by mines. Obtain supply of water from wells, and consume yearly about 500,000 gallons. There are at my works three condensing towers, 18 feet high, 2 feet square. Use yearly 1,100 tons of sulphur, and 922 tons of nitrate of soda. 6,200,000 lbs. vitrol sp. gr. 1-720, and 862,600 lbs. sp. gr. 1-845; also aquatortis 4,266 lbs. sp. gr. 1-160, and 2,441 lbs. sp. gr. 1-320. Do not produce any liquid refuse. Use yearly 1,470 tons of coal; the ashes produced at my works are used to repair roads. The excerements of my workpeople are used. Have no suggestions to offer as to the best means of avoiding pollution in future, or as to the conservancy of rivers and streams."
PART II 49.jpeg,Samuel Sutcliffe And Sons, Cotton Spinners,"Valley Road, Bradford.","Our works are situated on Bradford Beck, a tributary of the Aire. Employ 280 hands. Rateable value of works, 2,220l. The bed of the stream has silted up, caused by solid and liquid refuse thrown into it from manufactories, and works. Our works are slightly affected by floods. The condition of the water has been most foul, and seriously polluted. Obtain supply of river from springs, and in very dry weather from the Corporation waterworks, but have no means of ascertaining the volume used yearly in our works. We manufacture 520,000 lbs. of goods (spinning and doubling). The whole of the liquid refuse produce at our works now direct into the river. Do not use either soap, alkali, or urine. Use steam, 160 nominal horse-power. Consume yearly 4,200 tons of coal, the ashes from which are used for leveling land and repairing roads. The excerements of our workpeople are cast into the Beck. No suggestions to offer."
PART II 49.jpeg,"Critchley, Strong, & Company",Cotton and Worsted Manufacturers,"Holdsworth Street, Bradford.","Our works are situated on Bradford Beck, a tributary of the Aire. Employ 130 hands. Rateable value of works, 400l. The bed of the stream is opposite our works and is paved ; our works are affected by floods, owing to the contraction of the river channel. The river is polluted to a serious extent by refuse from woolen manufactories, dye and bleach works, and by town sewage. Obtain supply of water jointly from wells and from waterworks, but do not know the annual consumption at our works. Manufacture yearly 109,508 lbs. of goods, of the value of 16,426l. The waste liquid produced at our works flows direct into the stream. Use steam, 20 nominal horse-power. Consume yearly 800 tons of coal; the ashes from which are carted away from our premises. The excerements of our workpeople flow into the beck. Have no suggestions to offer."
PART II 49.jpeg,S. Townshend,"Cotton, Hank, Printer, Winder, and Warper","Albert Mill, Miller's Gate, Bradford.","My works are situated on Bradford Beck, a tributary of the Aire. Employ 40 hands. Rateable value of works, 150l. The bed of the stream has silted up opposite my works. My works are not affected by floods. The Beck is arched over near the works, and it is seriously polluted by works above. Obtain supply of water from the Bradford Corporation Waterworks, and consume yearly 800,000 gallons. If the stream from which we might derive our supply of water were rendered clear, and colourless, it would be a direct money value to me of 30l.; yearly. I print yearly 70,000 lbs. of yarns, of the value of 12,0001. The whole of the waste liquid produced at our works flows direct into sewers, and thence into the Beck. Use yearly as dye wares : logwood liquor, 5,000 lbs. ; iron and red liquor, 200 lbs.; gums, 800 lbs. Use yearly bleaching materials; chloride of lime, 1,680 lbs.; soda ash, 560 lbs.; vitriol, 2,000 lbs. Do not use any oil, soap, or urine, but use, yearly, alkali, a quarter of a ton. Use steam, 2 nominal horse-power. Consume yearly 150 tons of coal, the ashes from which are used in paving the streets. The excerements of my workpeople are conveyed into sewers, and thence into the river. Have no suggestions to offer."
PART II 50.jpeg,"Gledhill, Ashworth & Company",Sizers,"Gordon Street, Bradford.","Our works are situated on Bowling Beck, an affluent of the Bradford Beck, a tributary of the Aire. Employ 11 hands. Rateable value of works, 148l. 10s. The bed of the Beck has not silted up. Our works are not affected by floods. The condition of the stream has not changed within our knowledge; it is polluted by works above, but not by mines. Obtain our supply of water from waterworks, but do not know the annual consumption of our works. We sized yearly about 300 tons of goods, and use yearly in the making of size 700 sacks of flour. The liquid refuse produced at our works direct into the Beck. Use steam, 16 nominal horse-power. Consume yearly 900 tons of coal, the ashes from which are carted away to various places where we can tip them. The excrements of our workpeople are conveyed by waterclosets into sewers, and thence into the stream. Have no suggestions to offer."
PART II 50.jpeg,James Walker,Sizer,"Thornton Road, Bradford.","Our works are situated on Bradford Beck, a tributary of the Aire. Employ 12 hands. Rateable value of works, 136l. The bed of the Beck has not silted up opposite our works. Our works are not affected by floods. The condition of the stream is much the same as it has been for many years. It is very seriously polluted by refuse from dye houses, woollen, and other manufactories. Obtain supply of water from the Bradford Corporation waterworks, and consume yearly 1,090,000 gallons. We, yearly, size goods of the value of from 4,000l. to 5,000l. The whole of the waste liquid produced at our works flows direct into the stream. Use yearly from 500 to 600 sacks of flour as size; but do not use either oil or soap. Use steam, 10 nominal horse-power. Consume 564 tons of coal, the ashes from which are used partly in paving the roads and for mortar. The excrements of our workpeople are cast into sewers and thence into the river. We suggest, as the best means of avoiding pollution in future, that all liquid refuse should be purified before being allowed to pass into rivers and streams."
PART II 50.jpeg,Titus Gankroger,Sizer,"Spring Street, Bradford.","My works are situated on Bradford Beck, a tributary of the Aire. Employ 16 hands. Rateable value of works, 100l. The bed of the stream has not silted up near our works. Our works are not affected by floods. The stream is very seriously polluted by works above, not by mines. Obtain my supply of water from the reservoir of Messrs. Edward Ripley and Sons. Size yearly, 400,000 lbs. of warps. Use yearly 300 sacks of flour as size, but do not use either oil or soap. The waste liquid refuse produced at my works flows direct into the Beck. Use steam, 16 nominal horse-power. Consume 1,000 tons of coal, the ashes from which are carted away. The excrements of our workpeople are carted away for manure. Have no suggestions to offer."
PART II 50.jpeg,John Mills,Sizer,"Fullton Street, Thornton Road, Bradford.","My works are situated on a goit that flows into Bradford Beck, a tributary of the Aire. Employ 7 hands. Rateable value of works, 52l. 10s. The bed of the goit is very much silted up with solid and liquid refuse and spent dye stuffs. My works are affected by floods, but not to any serious extent. The goit is getting gradually worse year by year; it is seriously polluted by every kind of liquid and solid refuse. Obtain supply of water partly from the goit and from the Bradford Waterworks Company. If the water of the goit was rendered clear and colourless, it would be worth, in direct money value to me, 201l. a year. I size 539,760 lbs. of warps yearly. The whole of the liquid refuse produced at my works flows into the goit. Use yearly, in the preparation of size, 300 sacks of wheat and sago flour. Do not use any clay. Do not use either oil or soap. Use steam, 8 nominal horse-power. Consume yearly, 600 tons of coal, the ashes from which are used as ballast on railways. The excrements of my workpeople, mixed with stable manure, are used as manure. No suggestions to offer."
PART II 50.jpeg,"George Anderson, Leeds",Stuff Manufacturer,"Leeds Road, Bradford.","My works are situated near Bradford Beck, a tributary of the Aire. Employ 120 hands. Rateable value of works, 500l. My works are not affected by floods. Obtain supply of water from Corporation waterworks, and consume yearly upwards of 300,000 gallons. Manufacture yearly 180,000 lbs. of goods of the value of 40,000l. The liquid refuse produced at my works flows direct into sewers, and thence into the stream. Do not use any dye wares, bleaching materials, oil, soap, alkali, or urine. Use steam, 90 nominal horse-power. Consume yearly 1,200 tons of coal, the ashes from which are carted away by a contractor, to be used in building operations. The excrements of my workpeople are deposited in tanks, and the contents removed by carts every three months. Have no suggestions to offer."
PART II 51.jpeg,John Hill,Stuff Manufacturer,"Richmond Road, Bradford","My works are situated near to Bradford Beck, a tributary of the Aire, Employ 140 hands. Rateable value of works, 305l. My works are not affected by floods. Obtain supply of water from Corporation waterworks; and consume yearly 540,000 gallons. Manufacture yearly 80 tons of goods, of the value of 40,000 gallons. The whole of the liquid refuse produced at my works flows into sewers, and thence into the stream. Do not use any dye flowers or bleaching materials, oil, soap, alkali, or urine. Use steam, 20 nominal horse-power. Consume yearly 500 tons of coal, the ashes from which are taken away to be used for street paving and for mixing with lime for mortar. The excerments of my workpeople are conveyed by waterclosets into the sewers, and thence into the Beck. I would suggest as the best means of avoiding pollution in future, that the whole of the sewage and refuse should be utilized in irrigation."
PART II 51.jpeg,W. Mossman,Stuff Manufacturer,"Zetland Mills, North Brook Street, Bradford, Ford.","My works are situated near Bradford Beck, a tributary of the Aire, Employ 130 hands. Do not know the rateable value of works, the rates being paid by the landlord. My works are not affected by floods. Obtain supply of water jointly from wells and waterworks; but do not know the annual consumption at my works. The annual consumption at my works, The landlord, under whom H. R. Halstead and I are joint tenants, pays the water rates. I manufacture yearly 200,000 lbs. of goods, of the value of 40,000l. The whole of the waste liquid produced at my works flows direct into sewers and thence into the stream. Do not use any dye wares or bleaching materials, soap, alkali, or urine. Steam power is used jointly by our landlord. The solid excerments of our workpeople are conveyed by sewers into the stream, but the urine is removed by clothiers, to be used in the cloth manufacture. Have no suggestions to offer."
PART II 51.jpeg,H. R. Halstead,Worsted Manufacturer,"Zetland Mills, North Brook Street, Bradford, Ford.","My works are situated near the Bradford Beck, a tributary of the Aire. Employ 100 hands. I do not know the rateable value of the works, the floats being paid by the landlord. My works are not affected by floods. Obtain supply of water jointly from wells and waterworks; but do not know the annual consumption at my works. The landlord, under whom W. Mossman and I are joint tenants, pays the water rates. I manufacture yearly 104,000 lbs. of goods of the value of 50,000l. The whole of the waste liquid produced at my works flows into sewers, and thence into the stream. Do not use any dye wares or bleaching materials, soap, alkali, or urine. Steam power is used jointly by W. Mossman and myself; this also is provided by our landlord. The solid excerments of our workpeople are conveyed by sewers into the stream, but the urine is removed by clothiers, to be used in the cloth manufacture. Have no suggestions to offer."
PART II 51.jpeg,Robert Petty & Company,Stuff Manufacturers,"Thornton Road, Bradford.","Our works are situated on Bradford Beck. Employ 90 hands. Rate-able value of works, 177l. The bed of the stream has silted up. Our works are partly affected by floods. The condition of the stream is a perfect nuisance, especially in hot weather. It is seriously polluted by every kind of manufacturing refuse, and by town sewage. Obtain our supply of water from the Bradford waterworks, but do not know the annual consumption at our works. Wine manufacture yearly from 60 to 70 tons of goods, of the value of 30,000l. The liquid refuse produced at our works flows direct into the Beck. Use steam jointly with other persons, and are therefore unable to give the nominal horse-power, the weight of coal consumed, or what is done with the ashes. The excerments of our workpeople flow into the Beck. Have no suggestions to offer."
PART II 51.jpeg,Getz & Company,Stuff Manufacturers,"Fleece Mills, Thornton Rd., Bradford.","Our works are situated on the Bradford Beck, a tributary of the Aire. Employ 82 hands. Rates paid by the landlord. The bed of the stream has silted up. Our works are not affected by floods. The condition of the stream is very dirty; it stinks continually, and has done so for several years past. It is seriously polluted by dye works and mills above, and is in fact perfectly black. Obtain supply of water from the stream; but do not know the annual consumption at our works. We manufacture yearly 184,000 lbs. of goods, of the value of 30,000l. The whole of the waste liquid produced at our works flows direct into the Beck. Do not use any dye wares, bleaching materials, oil, soap, alkali, or urine. Use steam, 40 nominal horse-power. The coal is supplied by the landlord, from whom we hire power; do not know what is done with the ashes. The excerments of our workpeople are used for manure. We suggest as the best means of avoiding pollution in future, that the waste liquids from manufactories should be filtered, and town sewage kept out of rivers and streams."
PART II 52.jpeg,John Lockwood & Company,Stuff Manufacturers,"Ripley Mills, Bradford.","Our works are situated on the Bradford Beck, a tributary of the Aire. Employ 80 hands. Do not know the rateable value of the works, rates are paid by the landlord. Our works are not affected by floods. The river is seriously polluted by works above, not to our knowledge by mines. Obtain our supply of water from the beck, but do not know the annual consumption at our works. We do not know the value of the goods manufactured at our works yearly. The whole of the liquid refuse produced at our works flows direct into the stream. Do not use any dye wares or bleaching materials, oil, soap, alkali, or urine. Use steam, 10 nominal horse-power. The coal is supplied by the landlord of the premises from whom we hire power; do not know what is done with the ashes. The excrements of our workpeople are carted away and used for manure. No suggestions to offer."
PART II 52.jpeg,"Sawer, Shackleton & Company",Stuff Manufacturers,"Concordia Mills, Leeds Road, Bradford.","Our works are situated near the Bradford Beck. Employ 150 hands. Rateable value of works, 260l. Our works are not affected by floods. Obtain supply of water from wells, Manufacture yearly, goods of the value of 30,000l. The whole of the liquid refuse produced at our works flows direct into sewers, and thence into the stream. Do not use either dye wares, bleaching materials, oil, soap, alkali, or urine. Use steam, 29 nominal horse-power. Consume yearly 1,000 tons of coal, the ashes from which are used for the making of mortar for building purposes. The excrements of our workpeople are conveyed into sewers, and thence into the stream. Have no suggestions to offer."
PART II 52.jpeg,Henry Mason,Worsted Spinner and Manufacturer,"North Brook Street, Bradford.","My works are situated near the Bradford Beck a tributary of the Aire. Employ 573 hands. Do not know the separate rateable value of works. The Beck has silted up, caused by solid refuse thrown into it. My works are not affected by floods. During the past 30 years the Beck has been much fouled by the increase of dye works, mills, and factories, and by town sewage; but I believe it is not polluted by mines. Obtain supply of water jointly from wells and from the Bradford Waterworks Company; cannot tell the annual consumption at my works. Manufacture yearly goods of the value of 10,000l. The whole of the liquid refuse produced at my works flows directly into the sewers, and thence into the Beck. I do not use either dye wares or bleaching materials, oil or soap. I hire power from Messrs. William Ross and Company. Do not know the weight of coal consumed, or what is done with the ashes. The excrements of my workpeople are carted away to be used as manure. No suggestions to offer."
PART II 52.jpeg,Northend And Taylor,Worsted Manufacturers,"Girlington, near Bradford.","Our works are situated on an affluent of the Bradford Beck, a tributary of the Aire. Employ 90 hands. We are not able to state the rateable value of works. Our works are not affected by floods. Obtain supply of water from the Bradford Corporation Waterworks, and consume yearly 250,000 gallons. Manufacture yearly 125,000 lbs. of goods, of the value of 16,000l. The whole of the liquid refuse produced at our works flows direct into sewers and thence into the stream. Do not use any dye wares, or bleaching materials, oil, soap, alkali, or urine. Use steam, 12 nominal horse-power. Consume yearly 300 tons of coal, the ashes from which are carted away from the premises. The excrements of our workpeople are removed by a contractor under the Corporation. Have no suggestions to offer."
PART II 52.jpeg,J. Cure & Company,Wool Comber,"Manchester, Rad, Bradford.","Our works are situated on a Beck, separating the townships of Horton and Bowling, an affluent of the Bradford Beck, a tributary of the Aire. Employ 37 hands. Rateable value of works, 159l. Our works are not affected by floods. The stream is polluted by works above and by mines. Obtain supply of water jointly from the Beck and from the Bradford Corporation Company, and consume yearly 884,000 gallons. Manufacture yearly 872,276 lbs. of goods, of the value of 65,420l. The whole of the liquid refuse produced at our works, except soaps, flows direct into the Beck, and thence into the stream. Do not use any dye wares or bleaching materials. Use yearly six tons of Gallipoli oil, of the value of 330l. The waste wool produced in the process of carding is used for manufacture. Use yearly soap, 260 packs, the soapsus are treated for the recovery of grease, by which we gain 20l a year. Use steam, 16 nominal horse-power. Consume yearly 600 tons of coal, the ashes from which are mixed with the excrements of our workpeople and carted on to land. Have no suggestions to offer."
PART II 53.jpeg,Henry Cautley & Company,Worsted Manufacturers,"Portland Mills, Croft Street, Bradford.","Our works are situated on the Bradford Beck, a tributary of the Aire. Employ 313 hands. Rateable value of works 960l. Our works are not affected by floods. Obtain supply of water from the Bradford Waterworks Company. Consume yearly 2,500,000 gallons. Manufacture yearly goods of the value of 80,000l. The soapsuds are treated for the recovery of grease, and we gain 4s. per pack by the extraction. Use steam, 33 nominal horse-power. Consume yearly about 2,000 tons of coal, the ashes from which are used with mortar for building purposes. The excrements of our workpeople are conveyed by waterclosets into sewers and thence into the Beck. No suggestions to offer."
PART II 53.jpeg,Alfred Priestman & Company,Worsted Spinners and Manufacturers,"Black Mills, Bradford.","Our works are situated near the Bradford Beck, a tributary of the Aire. Employ 350 hands. Rateable value of works 960l. Our works are not affected by floods. Obtain supply of water from the Bradford Waterworks Company. Consume yearly 2,500,000 gallons. Manufacture yearly goods of the value of 80,000l. The soapsuds, flows into a tank; the other waste liquid produced flows into the town sewers, and thence into the river. We do not use either dye ware or bleaching materials. Use yearly 500l, and soap 140 packs, but no alkali or urine. The soapsuds are treated for the recovery of grease, and we gain 4s. per pack by the extraction. Use steam, 33 nominal horse-power. Consume yearly about 2,000 tons of coal, the ashes from which are used with mortar for building purposes. The excrements of our workpeople are conveyed by waterclosets into sewers and thence into the Beck. No suggestions to offer."
PART II 53.jpeg,J. G. Horsfall & Company,Worsted Manufacturers,"North Mills, Bradford.","Our works are situated on the Bradford Beck, a tributary of the Aire. Employ 300 hands. Rateable value of works 497l. Our works are not affected by floods. Obtain supply of water from wells, but do not know the annual consumption at our works. Manufacture yearly 312,000 lbs. of goods, of the value of oil, soap, or alkali. Do not use either dye ware, bleaching materials, the alkali. Use steam, 40 nominal horse-power. Consume yearly 700 tons of coal. Make 100 tons of ashes, which are carted away for repairing the roads. The excrements of our workpeople are carted away for manure. Have no suggestions to offer."
PART II 53.jpeg,Charles Hastings & Company,Combers and Spinners of Worsted Yarns,"Providence Mills, Thornton Road, Bradford.","Our works are situated on a goit which flows into Bradford Beck, a tributary of the Aire. Employ 220 hands. Rateable value of works 737l. The bed of the goit sits up, but is occasionally cleared out. Our works are not affected by floods. The goit is now very full from a town sewage, liquid refuse from dye and other works, and it is polluted to a very considerable extent. Obtain supply of water for condensing purposes from the goit, and for other purposes from wells and from the Bradford Corporation Waterworks, but do not know the annual consumption at our works. We consume yearly 813,327 lbs. of goods, of the value of 81,383l., and spin 313,984 lbs. of the value of 35,324l. Produce yearly liquid refuse, as soapsuds, 2,000,000 of gallons; these flow into a depositing tank. The alkali waste liquid produced flows direct into the goit, and thence into the river. We do not use either dye ware or bleaching materials. Use yearly 13 tons of Gallipoli oil, of the value of 720l. We produce yearly 9,000 lbs. of waste wool in carding, which is sold to waste dealers. Use yearly soap 60,000 lbs., alkali 12,000 lbs., but no mine. The soaps are treated for the recovery of grease, and we gain by the extraction 701 per annum. Use steam 35 nominal horse-power. Consume yearly 2,100 tons of coal, the ashes from which are carted away for repairing roads. The excrements of our workpeople flow into the mill goit, and thence into the stream. Have no suggestions to offer as to the conservancy of rivers and streams."
PART II 53.jpeg,Edward Smith & Company,Worsted Manufacturers,"Industry Mills, Thornton Road, Bradford.","Our works are situated near Bradford Beck. Employ 200 hands. As we rent power as well as premises from Mr. William Carter, of Neal Street, Bradford, we do not know the rateable value of works, or the annual consumption of water for condensing purposes. The water we require for other purposes is only a small quantity, and this we obtain from the Bradford Corporation. We manufacture, yearly, goods of the value of 50,000l, but do not produce any liquid refuse, Do not use oil or soap. As the steam power is rented with the premises we are unable to give the horse-power; the quantity of coal used; or to state what is done with the ashes. The excerments of our work-people are conveyed by a sewer into the Beck. Have no suggestions to offer."
PART II 54.jpeg,William Woodhead & Company,Worsted Weavers and Manufacturers,"Thornton Road, Bradford.","Our works are situated on a goit which flows into Bradford Beck, a tributary of the Aire. Employ 150 hands. Rateable value of works, 248l. The goit is polluted by refuse from manufactories, and by sewage; obtain our supply of water from the goit, but do not know the annual consumption at our works. We manufacture yearly 254,800 lbs. of goods, of the value of 36,400l. Do not use oil or soap. Use steam, 15 nominal horse-power; but as this power is rented with the premises we are unable to give the weight of coal used; or what is done with the ashes. The excerments of our workpeople are removed by carts and used for manure. Have no suggestions to offer."
PART II 54.jpeg,James Procter,Worsted Manufacturer,"Penny Mills, North Road, Bradford.","Our works are situated on a stream which flows into Bradford Beck, a tributary of the Aire. Employ 90 hands. Do not know the rateable value of the works as the landlord pays rates. The bed of the stream has not silted up. Our works are not affected by floods. The stream is polluted by works above, and by sewage. Obtain supply of water partly from the river and partly from the corporation waterworks; but do not know the annual consumption at our works. We manufacture yearly from 60 to 70 tons of cotton, of the value of from 22,000l to 24,000l. The whole of the waste liquid produced at our works flows into the brook. We do not use dye wares, bleaching materials, oil, soap, alkali, or urine. Use steam, 10 nominal horse-power; but as we hire steam-power from Mr. B. Ingle, the proprietor of the mills, we are unable to give the weight of coal used, or to state what is done with the ashes. The urine of our workpeople is carted away to woollen mills to scour cloth, and the solid excrement is conveyed to land to be used as manure. Have no suggestions to offer."
PART II 54.jpeg,Dantel Sharp & Sons,Worsted Manufacturers,"Tatler Street, Thornton Road, Bradford.","Our works are situated upon a goit which flows into Bradford Beck, a tributary of the Aire. Employ 75 hands. Rateable value of works, 390l. The bed of the stream has silted up. Our works are not affected by floods. The water of the goit is as black as ink. This has been its state for the last 15 years. It is very seriously polluted by works above, by town sewage; but not by mines. Obtain supply of water partly from the goit and partly from waterworks, but are unable to state the annual consumption at our works. Manufacture yearly 124,000 lbs. of goods, of the value of 18,000l. The whole of the liquid refuse produced at our works flows unfettered into the goit, and thence into the Beck. We do not use dye wares, bleaching materials, oil, alkali, soap, or urine. Use steam, two-thirds of 23 nominal horse-power, there being other tenants besides ourselves; we are therefore unable to state the quantity of coal used, or what is done with the ashes. The excerments of our workpeople flow into the goit and thence into the Beck. We have no suggestions to offer."
PART II 54.jpeg,A. C. Bartum & Company,Worsted Spinners and Weavers,"Newland Mills, Bradford.","Our works are situated near Bradford Beck. Employ 250 hands. Rateable value of works, 857l. Obtain our supply of water jointly from springs and from waterworks, but cannot give annual consumption at our works. Manufacture yearly, goods of the value of 63,000l. The whole of the waste liquid produced at the works flows direct into a sewer, and thence into the Beck. Use yearly 160 gallons of Gallipoli and sperm oils, of the value of 40l. Do not use soap, alkali, or urine. Use steam, 220 nominal horse-power. Consume yearly 1,500 tons of coal, the ashes from which are used partly for repairing roads, and partly for building purposes. The excerments of our workpeople are conveyed into tanks and thence on to land for agri-cultural purposes. We suggest as the best means of avoiding pollution in future that the whole of the sewage should be prevented from turning solid or liquid refuse into rivers and streams. Have no special suggestions to offer as to the conservancy of rivers and streams."
PART II 55.jpeg,Taylor & Bateman,Worsted Manufacturers,"Valley Works, Manningham, near Bradford.","Our works are situated on Bradford Beck, a tributary of the Aire. Employ 280 hands. The bed of the stream has silted up. Our works are not affected by floods. There has been very little alteration in the condition of the stream during the last 5 years. It is polluted to an enormous extent by every species of liquid and solid refuse, but not by mines. We hire room and power, and our landlord pays rates and supplies the water for our consumption, and we are unable to give the quantity used yearly. If the clear, from which we might derive our supply of water, were rendered clear and colourless, it would be of considerable money value to us. We manufacture yearly goods 360,000 lbs, of the value of 50,0000l. Produce yearly, liquid refuse, as soapsuds, 2,470,000 gallons. This and the whole of the other waste liquid flows direct into Bradford Beck. Ware or bleaching materials, but use yearly 380 gallons do not use either dye ware or 814, also soap 35 packs, and soda as 85 cwt. The soap-suds are not treated for the recovery of grease. As we only hire power from Messrs. S. Stultiffe and Sons, who are joint occupiers with us, we are unable to state the nominal steam power, the quantity of coal used, what is done with the ashes, or what is done with the excrements of our workpeople."